,0,1,2,3
0,Tokyo,0.9999999999992415,1.4377044981574552e-12,7.412323089976295
1,Toyama,0.9999999999998324,2.28792947537344e-13,2.7221533916835767
2,Ishikawa,1.0000000000031846,5.8397993426108e-12,7.047861501428773
3,Fukui,0.9999999999995024,1.2011551266415396e-12,3.3953390404083796
4,Gifu,1.0000000000002984,7.879990653214412e-13,1.8432725938876664
5,Aichi,1.000000000002247,3.921833922225646e-12,4.270087441468528
6,Mie,0.9999999999982305,3.2449804952923153e-12,4.602499659568848
7,Shiga,0.9999999999994228,1.198044210967335e-12,2.5568190530144443
8,Kyoto,1.0000000000001998,3.470669919074204e-13,3.2835013743182326
9,Osaka,0.9999999999957869,7.283223945626258e-12,2.911682261720389
10,Hyogo,1.0000000000006892,1.3235590835547014e-12,1.926983674196783
11,Nara,1.0000000000005786,9.67187838083422e-13,1.4706831967873686
12,Wakayama,0.9999999999986754,2.4375005354418805e-12,2.2516683159776365
13,Tottori,1.0000000000014677,2.7067615347610896e-12,2.856019735686223
14,Shimane,0.9999999999979287,3.9546572569979884e-12,1.7661444015968104
15,Okayama,0.9999999999995646,7.794406498502029e-13,1.8152521307103575
16,Hiroshima,0.9999999999991027,1.5008971736266964e-12,2.48034361849815
17,Yamaguchi,0.9999999999994296,1.3387949319523991e-12,1.5338519431529245
18,Tokushima,0.99999999999804,3.6292008477678616e-12,0.9935345180519943
19,Kagawa,0.999999999999733,4.655950915392622e-13,1.6693763524395417
20,Ehime,1.0000000000006217,1.008920572970309e-12,6.521499106420325
21,Kochi,0.9999999999962468,7.092733974457269e-12,4.164980889601949
22,Fukuoka,0.9999999999954566,8.013460657484607e-12,2.8079788228616547
23,Saga,0.9999999999964267,6.52872529935643e-12,4.887587699923459
24,Nagasaki,1.00000000000326,6.0208268080526256e-12,2.8889367003467386
25,Kumamoto,0.9999999999990493,1.7730180901571902e-12,2.477998903501927
26,Oita,0.9999999999978332,4.122849537740219e-12,1.1222603372037256
27,Miyazaki,0.9999999999988152,2.3782794493247192e-12,1.7046371871720847
28,Kagoshima,1.0000000000006475,1.434397627030009e-12,0.993308852084584
29,Okinawa,0.9999999999938674,1.0151362155123122e-11,17.211199104504768
